+---------------------------------------------------------------------------------------+---------+------------+----------+---------------+----------------+----------------+-----------------+
|                                          name                                         |  coefs  | coef_expit | coef_exp | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|    med_family_income_vs_house_price_/_mortage_debt_individuals_1yr_diff_ewma_trim_t   |  0.007  |   0.5018   |  1.007   |    28.0548    |      0.0       |   3974.7788    |      0.0126     |
|                        tsy_3mo_yield_/_unempl_rate_ewma_trim_t                        | -0.0056 |   0.4986   |  0.9944  |     3.125     |     0.0866     |   3750.1652    |      0.0129     |
|                 sp500_peratio_/_tax_receipts_corp_1yr_diff_ewma_trim_t                | -0.0056 |   0.4986   |  0.9944  |    15.1862    |     0.0005     |   3373.4909    |      0.0136     |
|                  tsy_3mo_yield_/_housing_supply_1yr_diff_ewma_trim_t                  | -0.0053 |   0.4987   |  0.9947  |     3.8386    |     0.0588     |   3316.1251    |      0.0137     |
|                    tsy_5yr_yield_*_unempl_rate_1yr_diff_ewma_trim_t                   | -0.0007 |   0.4998   |  0.9993  |     15.71     |     0.0004     |    2553.593    |      0.0157     |
|                  tsy_3mo_yield_*_housing_starts_1yr_diff_ewma_trim_t                  | -0.0056 |   0.4986   |  0.9944  |     4.2584    |     0.0472     |   2477.3197    |      0.0159     |
|                  sp500_peratio_*_housing_starts_1yr_diff_ewma_trim_t                  |  0.016  |   0.504    |  1.0162  |    16.3073    |     0.0003     |    2438.246    |      0.016      |
|               equity_alloc_*_real_estate_loans_1yr_diff_ewma_trim_pow2_t              | -0.0174 |   0.4957   |  0.9828  |    17.2911    |     0.0002     |   2373.4596    |      0.0162     |
|                  tsy_10yr_yield_/_housing_supply_1yr_diff_ewma_trim_t                 |  0.0038 |   0.5009   |  1.0038  |    14.6364    |     0.0006     |   2273.6329    |      0.0166     |
|                 equity_alloc_*_real_estate_loans_1yr_diff_ewma_trim_t                 | -0.0071 |   0.4982   |  0.9929  |    22.9703    |      0.0       |   2227.2648    |      0.0168     |
|                 unempl_rate_*_foreign_dir_invest_1yr_diff_ewma_trim_t                 |  0.0007 |   0.5002   |  1.0007  |    37.8223    |      0.0       |   1988.0509    |      0.0177     |
|               equity_alloc_/_tax_receipts_corp_1yr_diff_ewma_trim_pow2_t              | -0.0175 |   0.4956   |  0.9826  |    15.8485    |     0.0004     |   1799.4166    |      0.0187     |
|             sp500_peratio_/_mortage_debt_individuals_1yr_diff_ewma_trim_t             |  0.0051 |   0.5013   |  1.0051  |    14.0957    |     0.0007     |   1706.4647    |      0.0192     |
|                 equity_alloc_/_tax_receipts_corp_1yr_diff_ewma_trim_t                 | -0.0095 |   0.4976   |  0.9906  |    21.7787    |     0.0001     |   1634.6886    |      0.0196     |
|             tsy_3mo_yield_/_mortage_debt_individuals_1yr_diff_ewma_trim_t             | -0.0062 |   0.4984   |  0.9938  |     3.8798    |     0.0576     |   1562.5989    |       0.02      |
|       empl_construction_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t      |  0.0095 |   0.5024   |  1.0095  |    24.7178    |      0.0       |   1444.4139    |      0.0208     |
|              tsy_3mo_yield_/_med_family_income_vs_house_price_ewma_trim_t             | -0.0031 |   0.4992   |  0.9969  |     4.0141    |     0.0536     |   1301.1212    |      0.0219     |
|                       tsy_3mo_yield_*_sp500_peratio_ewma_trim_t                       | -0.0145 |   0.4964   |  0.9856  |     2.5656    |     0.119      |    1265.892    |      0.0222     |
|                tsy_3mo_yield_/_foreign_dir_invest_1yr_diff_ewma_trim_t                | -0.0123 |   0.4969   |  0.9878  |     4.5962    |     0.0397     |   1206.3363    |      0.0228     |
|                  tsy_5yr_yield_/_med_house_price_1yr_diff_ewma_trim_t                 | -0.0038 |   0.499    |  0.9962  |    11.1477    |     0.0021     |   1173.6804    |      0.0231     |
|                 tsy_3mo_yield_/_tax_receipts_corp_1yr_diff_ewma_trim_t                | -0.0052 |   0.4987   |  0.9948  |     4.2611    |     0.0472     |   1150.3108    |      0.0233     |
|        industrial_prod_1yr_diff_/_combanks_business_loans_1yr_diff_ewma_trim_t        | -0.0063 |   0.4984   |  0.9937  |    35.2255    |      0.0       |   1155.7943    |      0.0233     |
|                 tsy_3mo_yield_*_real_estate_loans_1yr_diff_ewma_trim_t                | -0.0044 |   0.4989   |  0.9956  |     4.275     |     0.0468     |   1147.3138    |      0.0234     |
|                 tsy_3mo_yield_/_empl_construction_1yr_diff_ewma_trim_t                | -0.0061 |   0.4985   |  0.9939  |     4.5008    |     0.0417     |    1102.18     |      0.0238     |
|                      tsy_3mo_yield_/_gdp_nom_1yr_diff_ewma_trim_t                     | -0.0044 |   0.4989   |  0.9956  |     4.2859    |     0.0466     |   1096.4839    |      0.0239     |
|              med_house_price_1yr_diff_*_unempl_rate_1yr_diff_ewma_trim_t              |  0.0011 |   0.5003   |  1.0011  |    41.3594    |      0.0       |    986.9527    |      0.0252     |
|              tsy_3mo_yield_*_combanks_business_loans_1yr_diff_ewma_trim_t             | -0.0018 |   0.4996   |  0.9982  |     3.4874    |     0.071      |    980.6162    |      0.0253     |
|              tsy_3mo_yield_/_real_med_family_income_1yr_diff_ewma_trim_t              | -0.0047 |   0.4988   |  0.9953  |     4.3294    |     0.0455     |    900.1036    |      0.0264     |
|                tsy_3mo_yield_*_combanks_assets_tot_1yr_diff_ewma_trim_t               | -0.0022 |   0.4995   |  0.9978  |     4.1397    |     0.0502     |    888.4968    |      0.0265     |
|                 tsy_3mo_yield_/_med_family_income_1yr_diff_ewma_trim_t                | -0.0048 |   0.4988   |  0.9952  |     4.2353    |     0.0478     |    887.6943    |      0.0266     |
|                        equity_alloc_*_tsy_3mo_yield_ewma_trim_t                       |  0.0003 |   0.5001   |  1.0003  |     3.3798    |     0.0753     |    864.891     |      0.0269     |
|              unempl_rate_*_mortage_debt_individuals_1yr_diff_ewma_trim_t              |  0.0007 |   0.5002   |  1.0007  |    49.0561    |      0.0       |    862.5143    |      0.0269     |
|               capacity_util_mfg_*_real_estate_loans_1yr_diff_ewma_trim_t              |  0.0008 |   0.5002   |  1.0008  |    26.3232    |      0.0       |    866.8503    |      0.0269     |
|                  tsy_3mo_yield_/_industrial_prod_1yr_diff_ewma_trim_t                 | -0.0039 |   0.499    |  0.9961  |     4.5158    |     0.0414     |    840.6076    |      0.0273     |
|               unempl_rate_*_med_family_income_vs_house_price_ewma_trim_t              |  0.0026 |   0.5007   |  1.0026  |    46.8796    |      0.0       |    823.9645    |      0.0276     |
|                 tsy_3mo_yield_*_med_family_income_1yr_diff_ewma_trim_t                |  -0.005 |   0.4987   |  0.995   |     4.1122    |     0.051      |    812.2059    |      0.0278     |
|                tsy_3mo_yield_/_combanks_assets_tot_1yr_diff_ewma_trim_t               | -0.0077 |   0.4981   |  0.9923  |     4.2038    |     0.0486     |    812.1729    |      0.0278     |
|              tsy_3mo_yield_*_real_med_family_income_1yr_diff_ewma_trim_t              | -0.0051 |   0.4987   |  0.9949  |     4.024     |     0.0534     |    799.9144    |      0.028      |
|                        tsy_3mo_yield_*_unempl_rate_ewma_trim_t                        | -0.0067 |   0.4983   |  0.9933  |     5.6069    |     0.0241     |    771.0764    |      0.0285     |
|            gdp_nom_1yr_diff_/_combanks_business_loans_1yr_diff_ewma_trim_t            |  -0.007 |   0.4983   |  0.9931  |    37.0124    |      0.0       |    772.905     |      0.0285     |
|                     tsy_3mo_yield_*_capacity_util_mfg_ewma_trim_t                     | -0.0047 |   0.4988   |  0.9953  |     3.642     |     0.0653     |    767.4076    |      0.0286     |
|                               tsy_3mo_yield_ewma_trim_t                               |  -0.005 |   0.4988   |  0.9951  |     4.1734    |     0.0494     |    754.1726    |      0.0288     |
|              sp500_peratio_/_med_family_income_vs_house_price_ewma_trim_t             | -0.0004 |   0.4999   |  0.9996  |    14.8799    |     0.0005     |    728.9717    |      0.0293     |
|              tsy_3mo_yield_/_combanks_business_loans_1yr_diff_ewma_trim_t             | -0.0091 |   0.4977   |  0.9909  |     5.0452    |     0.0317     |    721.0276    |      0.0295     |
|                     tsy_3mo_yield_*_capacity_util_chem_ewma_trim_t                    | -0.0065 |   0.4984   |  0.9935  |     3.8085    |     0.0598     |    714.2608    |      0.0296     |
|                    equity_alloc_/_gdp_nom_1yr_diff_ewma_trim_pow2_t                   | -0.0105 |   0.4974   |  0.9895  |    17.3249    |     0.0002     |    716.7298    |      0.0296     |
|                  tsy_3mo_yield_*_industrial_prod_1yr_diff_ewma_trim_t                 |  -0.006 |   0.4985   |  0.994   |     3.8594    |     0.0582     |    695.8014    |       0.03      |
|                 tsy_3mo_yield_*_empl_construction_1yr_diff_ewma_trim_t                | -0.0042 |   0.4989   |  0.9958  |     3.867     |     0.058      |    692.2565    |      0.0301     |
|                     combanks_assets_tot_1yr_diff_ewma_trim_pow2_t                     |  0.0063 |   0.5016   |  1.0063  |    29.0419    |      0.0       |    641.3986    |      0.0312     |
|                 tsy_3mo_yield_/_real_estate_loans_1yr_diff_ewma_trim_t                | -0.0053 |   0.4987   |  0.9947  |     4.0641    |     0.0523     |    633.8173    |      0.0314     |
|                 sp500_peratio_/_empl_construction_1yr_diff_ewma_trim_t                | -0.0049 |   0.4988   |  0.9951  |    16.7151    |     0.0003     |    632.1777    |      0.0315     |
|                tsy_3mo_yield_*_foreign_dir_invest_1yr_diff_ewma_trim_t                |  0.0003 |   0.5001   |  1.0003  |     3.7992    |     0.0601     |    609.7883    |      0.032      |
|              tsy_3mo_yield_*_med_family_income_vs_house_price_ewma_trim_t             | -0.0066 |   0.4984   |  0.9935  |     4.3185    |     0.0458     |    594.852     |      0.0324     |
|          foreign_dir_invest_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t         | -0.0039 |   0.499    |  0.9961  |    24.2918    |      0.0       |    592.8902    |      0.0325     |
|                      equity_alloc_/_gdp_nom_1yr_diff_ewma_trim_t                      | -0.0034 |   0.4991   |  0.9966  |    22.8141    |      0.0       |    587.6738    |      0.0326     |
|                      tsy_3mo_yield_*_gdp_nom_1yr_diff_ewma_trim_t                     | -0.0056 |   0.4986   |  0.9944  |     4.0674    |     0.0522     |    574.5388    |      0.033      |
|          empl_construction_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t          |  0.0017 |   0.5004   |  1.0017  |     26.492    |      0.0       |    568.3177    |      0.0332     |
|            capacity_util_mfg_/_med_family_income_vs_house_price_ewma_trim_t           | -0.0011 |   0.4997   |  0.9989  |     24.104    |      0.0       |    565.2124    |      0.0333     |
|                 tsy_3mo_yield_*_tax_receipts_corp_1yr_diff_ewma_trim_t                | -0.0045 |   0.4989   |  0.9955  |     4.1767    |     0.0493     |    554.506     |      0.0336     |
|              capacity_util_chem_*_real_estate_loans_1yr_diff_ewma_trim_t              | -0.0015 |   0.4996   |  0.9985  |    27.9904    |      0.0       |    512.3249    |      0.035      |
|                        combanks_assets_tot_1yr_diff_ewma_trim_t                       |  0.0043 |   0.5011   |  1.0043  |     29.316    |      0.0       |    497.4297    |      0.0355     |
|                 sp500_peratio_*_real_estate_loans_1yr_diff_ewma_trim_t                |  0.0011 |   0.5003   |  1.0011  |    15.8287    |     0.0004     |    435.9437    |      0.0379     |
|                  tsy_3mo_yield_/_housing_starts_1yr_diff_ewma_trim_t                  | -0.0025 |   0.4994   |  0.9975  |     4.0632    |     0.0523     |    433.2407    |      0.038      |
|                   unempl_rate_*_housing_supply_1yr_diff_ewma_trim_t                   |  0.0004 |   0.5001   |  1.0004  |     49.772    |      0.0       |    409.1943    |      0.0391     |
|           capacity_util_chem_/_med_family_income_vs_house_price_ewma_trim_t           | -0.0033 |   0.4992   |  0.9967  |    25.6021    |      0.0       |    400.3527    |      0.0395     |
|                  unempl_rate_*_empl_construction_1yr_diff_ewma_trim_t                 |  0.005  |   0.5013   |  1.005   |    40.8701    |      0.0       |    396.0658    |      0.0398     |
|             tsy_3mo_yield_*_mortage_debt_individuals_1yr_diff_ewma_trim_t             | -0.0029 |   0.4993   |  0.9971  |     4.5028    |     0.0417     |    392.135     |       0.04      |
|            housing_starts_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t           | -0.0023 |   0.4994   |  0.9977  |    32.4716    |      0.0       |    382.0432    |      0.0405     |
|           housing_supply_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t           |  -0.006 |   0.4985   |  0.994   |     38.197    |      0.0       |    358.7699    |      0.0418     |
|                     sp500_peratio_/_capacity_util_chem_ewma_trim_t                    |  0.006  |   0.5015   |  1.006   |    16.7257    |     0.0003     |    346.3188    |      0.0425     |
|                equity_alloc_/_housing_supply_1yr_diff_ewma_trim_pow2_t                | -0.0087 |   0.4978   |  0.9913  |    14.0413    |     0.0007     |    342.8193    |      0.0427     |
|       mortage_debt_individuals_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t      |  0.0006 |   0.5001   |  1.0006  |    33.8528    |      0.0       |     337.74     |      0.043      |
|                      sp500_peratio_/_gdp_nom_1yr_diff_ewma_trim_t                     |  0.003  |   0.5007   |  1.003   |     15.776    |     0.0004     |    333.4943    |      0.0433     |
|           capacity_util_chem_/_combanks_business_loans_1yr_diff_ewma_trim_t           |  -0.007 |   0.4983   |  0.993   |    34.4736    |      0.0       |    327.3797    |      0.0437     |
|                      equity_alloc_/_unempl_rate_ewma_trim_pow2_t                      | -0.0058 |   0.4985   |  0.9942  |     6.5682    |     0.0153     |    311.5654    |      0.0448     |
|                        unempl_rate_*_sp500_peratio_ewma_trim_t                        |  0.0162 |   0.504    |  1.0163  |    23.8975    |      0.0       |    305.625     |      0.0452     |
|         med_family_income_vs_house_price_/_housing_supply_1yr_diff_ewma_trim_t        | -0.0008 |   0.4998   |  0.9992  |    27.3301    |      0.0       |    303.4141    |      0.0454     |
|       med_family_income_vs_house_price_*_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0042 |   0.501    |  1.0042  |    31.9782    |      0.0       |    290.1537    |      0.0464     |
|      combanks_business_loans_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t      |  0.0069 |   0.5017   |  1.0069  |    22.8515    |      0.0       |    280.5457    |      0.0472     |
|                   equity_alloc_/_housing_supply_1yr_diff_ewma_trim_t                  | -0.0052 |   0.4987   |  0.9948  |    20.3074    |     0.0001     |     278.0      |      0.0474     |
|     real_med_family_income_1yr_diff_/_combanks_business_loans_1yr_diff_ewma_trim_t    | -0.0029 |   0.4993   |  0.9971  |    36.5094    |      0.0       |    277.9144    |      0.0474     |
|                     sp500_peratio_/_capacity_util_mfg_ewma_trim_t                     |  0.0033 |   0.5008   |  1.0033  |    17.8172    |     0.0002     |    277.0453    |      0.0475     |
|                  tsy_3mo_yield_*_housing_supply_1yr_diff_ewma_trim_t                  | -0.0051 |   0.4987   |  0.9949  |     4.3229    |     0.0457     |    274.4682    |      0.0477     |
|         cpi_urb_nonvol_1yr_diff_/_real_med_family_income_1yr_diff_ewma_trim_t         |  0.0022 |   0.5006   |  1.0022  |    30.7242    |      0.0       |    272.2368    |      0.0479     |
|             tsy_10yr_yield_/_mortage_debt_individuals_1yr_diff_ewma_trim_t            |  0.0087 |   0.5022   |  1.0088  |    15.5423    |     0.0004     |    263.7143    |      0.0487     |
|         cpi_urb_nonvol_1yr_diff_/_combanks_business_loans_1yr_diff_ewma_trim_t        | -0.0031 |   0.4992   |  0.9969  |    37.9334    |      0.0       |    260.1921    |      0.049      |
|             housing_starts_1yr_diff_*_housing_supply_1yr_diff_ewma_trim_t             | -0.0074 |   0.4981   |  0.9926  |    33.8971    |      0.0       |    250.9532    |      0.0499     |
|       combanks_business_loans_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0052 |   0.5013   |  1.0052  |    24.0771    |      0.0       |    244.4264    |      0.0506     |
|                  unempl_rate_/_real_estate_loans_1yr_diff_ewma_trim_t                 |  0.0018 |   0.5004   |  1.0018  |    42.5319    |      0.0       |    241.1109    |      0.0509     |
|                    tsy_10yr_yield_*_sp500_peratio_ewma_trim_pow2_t                    |  0.0068 |   0.5017   |  1.0068  |     3.1272    |     0.0865     |    241.8794    |      0.0509     |
|                    tsy_3mo_yield_/_unempl_rate_1yr_diff_ewma_trim_t                   | -0.0052 |   0.4987   |  0.9948  |     3.2435    |     0.0811     |    238.9853    |      0.0512     |
|                             sp500_peratio_ewma_trim_pow2_t                            | -0.0091 |   0.4977   |  0.9909  |     7.6648    |     0.0093     |    233.7867    |      0.0517     |
|           capacity_util_mfg_/_mortage_debt_individuals_1yr_diff_ewma_trim_t           |  0.0039 |   0.501    |  1.0039  |    22.9909    |      0.0       |    231.8017    |      0.0519     |
|                   combanks_business_loans_1yr_diff_ewma_trim_pow2_t                   |  0.0062 |   0.5015   |  1.0062  |    18.0157    |     0.0002     |    232.5698    |      0.0519     |
|                equity_alloc_/_industrial_prod_1yr_diff_ewma_trim_pow2_t               | -0.0043 |   0.4989   |  0.9957  |    18.9913    |     0.0001     |    230.9186    |      0.052      |
|                  tsy_3mo_yield_*_med_house_price_1yr_diff_ewma_trim_t                 | -0.0001 |    0.5     |  0.9999  |     4.3283    |     0.0456     |    223.3774    |      0.0529     |
|                  tsy_5yr_yield_/_housing_supply_1yr_diff_ewma_trim_t                  | -0.0014 |   0.4996   |  0.9986  |     10.065    |     0.0033     |    214.8601    |      0.054      |
|               gdp_nom_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t               | -0.0023 |   0.4994   |  0.9977  |    30.0192    |      0.0       |    211.0111    |      0.0544     |
|           cpi_urb_nonvol_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t          |  0.0041 |   0.501    |  1.0041  |    29.1701    |      0.0       |    202.8655    |      0.0555     |
|            empl_construction_1yr_diff_/_housing_supply_1yr_diff_ewma_trim_t           |  0.0055 |   0.5014   |  1.0055  |    23.8878    |      0.0       |    199.7711    |      0.0559     |
|                  sp500_peratio_/_industrial_prod_1yr_diff_ewma_trim_t                 |  0.0023 |   0.5006   |  1.0023  |    16.5643    |     0.0003     |    196.1729    |      0.0565     |
|                      combanks_business_loans_1yr_diff_ewma_trim_t                     |  0.0049 |   0.5012   |  1.0049  |    23.0498    |      0.0       |    195.5224    |      0.0566     |
|       med_family_income_vs_house_price_/_tax_receipts_corp_1yr_diff_ewma_trim_t       | -0.0025 |   0.4994   |  0.9975  |    29.8967    |      0.0       |    190.1742    |      0.0573     |
|    combanks_business_loans_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t   |  0.0085 |   0.5021   |  1.0086  |    21.0535    |     0.0001     |    190.4631    |      0.0573     |
|      mortage_debt_individuals_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t      | -0.0019 |   0.4995   |  0.9981  |    38.4062    |      0.0       |    188.5653    |      0.0576     |
|         med_family_income_1yr_diff_/_combanks_assets_tot_1yr_diff_ewma_trim_t         | -0.0021 |   0.4995   |  0.9979  |    29.4079    |      0.0       |    187.4611    |      0.0578     |
|            cpi_urb_nonvol_1yr_diff_/_med_family_income_1yr_diff_ewma_trim_t           |  0.0031 |   0.5008   |  1.0031  |    29.8704    |      0.0       |    186.0174    |      0.058      |
|                  equity_alloc_/_industrial_prod_1yr_diff_ewma_trim_t                  | -0.0016 |   0.4996   |  0.9984  |    23.9417    |      0.0       |    182.7915    |      0.0585     |
|          empl_construction_1yr_diff_*_real_estate_loans_1yr_diff_ewma_trim_t          |  0.0059 |   0.5015   |  1.0059  |    28.2879    |      0.0       |    179.8694    |      0.059      |
|              sp500_peratio_*_combanks_business_loans_1yr_diff_ewma_trim_t             |  0.0014 |   0.5003   |  1.0014  |    12.1139    |     0.0015     |    177.6831    |      0.0593     |
|               tsy_10yr_yield_*_cpi_urb_nonvol_1yr_diff_ewma_trim_pow2_t               |  0.003  |   0.5007   |  1.003   |     9.6357    |     0.004      |    176.9335    |      0.0594     |
|            equity_alloc_*_combanks_business_loans_1yr_diff_ewma_trim_pow2_t           | -0.0152 |   0.4962   |  0.9849  |    10.2306    |     0.0031     |    172.0721    |      0.0603     |
|       med_family_income_1yr_diff_*_combanks_business_loans_1yr_diff_ewma_trim_t       |  0.0033 |   0.5008   |  1.0033  |    22.7072    |      0.0       |    170.6611    |      0.0605     |
|                tsy_10yr_yield_/_foreign_dir_invest_1yr_diff_ewma_trim_t               |  0.0032 |   0.5008   |  1.0032  |    19.8263    |     0.0001     |    170.0817    |      0.0606     |
|       med_family_income_1yr_diff_/_combanks_business_loans_1yr_diff_ewma_trim_t       |  -0.004 |   0.499    |  0.996   |    37.5591    |      0.0       |    169.4857    |      0.0607     |
|      combanks_business_loans_1yr_diff_/_combanks_assets_tot_1yr_diff_ewma_trim_t      |  0.0027 |   0.5007   |  1.0027  |    23.2606    |      0.0       |    160.3072    |      0.0624     |
|                  sp500_peratio_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |  0.0006 |   0.5001   |  1.0006  |    15.3903    |     0.0004     |    159.8744    |      0.0625     |
|       combanks_business_loans_1yr_diff_/_tax_receipts_corp_1yr_diff_ewma_trim_t       |  0.0006 |   0.5002   |  1.0006  |    22.5819    |      0.0       |    160.1502    |      0.0625     |
|              sp500_peratio_/_real_med_family_income_1yr_diff_ewma_trim_t              |  0.0011 |   0.5003   |  1.0011  |    15.9936    |     0.0004     |    157.4539    |      0.063      |
|                      unempl_rate_*_capacity_util_chem_ewma_trim_t                     |  0.001  |   0.5002   |  1.001   |    40.1319    |      0.0       |    156.4347    |      0.0632     |
|                 sp500_peratio_/_med_family_income_1yr_diff_ewma_trim_t                |  0.0015 |   0.5004   |  1.0015  |    15.4986    |     0.0004     |    153.0124    |      0.0639     |
|       real_med_family_income_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t      |  0.0036 |   0.5009   |  1.0036  |    28.0921    |      0.0       |    152.8864    |      0.0639     |
|           capacity_util_chem_/_mortage_debt_individuals_1yr_diff_ewma_trim_t          |  0.0015 |   0.5004   |  1.0015  |    24.4345    |      0.0       |    149.3568    |      0.0647     |
|                         med_family_income_1yr_diff_ewma_trim_t                        |  0.0003 |   0.5001   |  1.0003  |    29.1439    |      0.0       |    148.0969    |      0.065      |
