index1,name,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
802,med_house_price_1yr_diff_div_combanks_business_loans_1yr_diff_ewma_trim_t,4.8414,0.0324,12.2846,0.001
803,med_house_price_1yr_diff_div_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
804,med_house_price_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_t,6.6108,0.0132,0.0102,0.9198
805,med_house_price_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
806,med_house_price_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_t,5.6446,0.0214,11.7653,0.0012
807,med_house_price_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
808,med_house_price_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,5.8713,0.0191,0.939,0.3373
809,med_house_price_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
810,med_house_price_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,6.1682,0.0164,1.3139,0.2573
811,med_house_price_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
812,med_house_price_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_t,6.7786,0.0121,0.1108,0.7407
813,med_house_price_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
814,med_house_price_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_t,5.4433,0.0237,10.7793,0.0019
815,med_house_price_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
816,med_house_price_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_t,6.7016,0.0126,0.0304,0.8624
817,med_house_price_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
818,med_house_price_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_t,5.5662,0.0223,20.1145,0.0
819,med_house_price_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
820,med_house_price_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,5.2188,0.0266,9.7594,0.003
821,med_house_price_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
822,med_house_price_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,7.3305,0.0093,6.2567,0.0158
823,med_house_price_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
824,med_family_income_1yr_diff_times_unempl_rate_1yr_diff_ewma_trim_t,6.7467,0.0123,0.0856,0.771
825,med_family_income_1yr_diff_times_unempl_rate_1yr_diff_ewma_trim_isnull,,,,
826,med_family_income_1yr_diff_div_unempl_rate_1yr_diff_ewma_trim_t,6.1538,0.0165,0.1897,0.6651
827,med_family_income_1yr_diff_div_unempl_rate_1yr_diff_ewma_trim_isnull,,,,
828,med_family_income_1yr_diff_times_real_med_family_income_1yr_diff_ewma_trim_t,6.9023,0.0114,5.3102,0.0255
829,med_family_income_1yr_diff_times_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
830,med_family_income_1yr_diff_div_real_med_family_income_1yr_diff_ewma_trim_t,6.6239,0.0131,6.3342,0.0152
831,med_family_income_1yr_diff_div_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
832,med_family_income_1yr_diff_times_combanks_business_loans_1yr_diff_ewma_trim_t,8.268,0.0059,10.168,0.0025
833,med_family_income_1yr_diff_times_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
834,med_family_income_1yr_diff_div_combanks_business_loans_1yr_diff_ewma_trim_t,5.3459,0.0249,7.8271,0.0073
835,med_family_income_1yr_diff_div_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
836,med_family_income_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_t,7.3052,0.0094,13.5598,0.0006
837,med_family_income_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
838,med_family_income_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_t,6.2375,0.0158,8.2363,0.006
839,med_family_income_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
840,med_family_income_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,6.5354,0.0137,0.0143,0.9053
841,med_family_income_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
842,med_family_income_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,6.7694,0.0122,0.0987,0.7548
843,med_family_income_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
844,med_family_income_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_t,7.4939,0.0086,5.3125,0.0255
845,med_family_income_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
846,med_family_income_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_t,6.0146,0.0177,3.9615,0.0521
847,med_family_income_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
848,med_family_income_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_t,7.4146,0.0089,13.0703,0.0007
849,med_family_income_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
850,med_family_income_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_t,6.1415,0.0166,15.2,0.0003
851,med_family_income_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
852,med_family_income_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,5.7793,0.02,8.8271,0.0046
853,med_family_income_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
854,med_family_income_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,7.8985,0.007,18.2124,0.0001
855,med_family_income_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
856,unempl_rate_1yr_diff_times_real_med_family_income_1yr_diff_ewma_trim_t,6.8307,0.0118,0.1429,0.7071
857,unempl_rate_1yr_diff_times_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
858,unempl_rate_1yr_diff_div_real_med_family_income_1yr_diff_ewma_trim_t,6.5683,0.0134,0.0133,0.9087
859,unempl_rate_1yr_diff_div_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
860,unempl_rate_1yr_diff_times_combanks_business_loans_1yr_diff_ewma_trim_t,8.3329,0.0057,3.4761,0.0683
861,unempl_rate_1yr_diff_times_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
862,unempl_rate_1yr_diff_div_combanks_business_loans_1yr_diff_ewma_trim_t,5.1141,0.0281,1.0894,0.3017
863,unempl_rate_1yr_diff_div_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
864,unempl_rate_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_t,7.202,0.0098,0.5538,0.4603
865,unempl_rate_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
866,unempl_rate_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_t,6.1556,0.0165,0.0977,0.7559
867,unempl_rate_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
868,unempl_rate_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,6.5156,0.0138,0.0004,0.9849
869,unempl_rate_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
870,unempl_rate_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,6.5752,0.0134,0.0442,0.8343
871,unempl_rate_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
872,unempl_rate_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_t,7.2319,0.0097,0.5566,0.4592
873,unempl_rate_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
874,unempl_rate_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_t,5.8991,0.0188,0.2459,0.6222
875,unempl_rate_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
876,unempl_rate_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_t,7.3218,0.0093,0.8039,0.3743
877,unempl_rate_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
878,unempl_rate_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_t,6.0994,0.017,0.116,0.7349
879,unempl_rate_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
880,unempl_rate_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,5.7053,0.0207,0.8376,0.3646
881,unempl_rate_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
882,unempl_rate_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,8.107,0.0064,2.1437,0.1495
883,unempl_rate_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
884,real_med_family_income_1yr_diff_times_combanks_business_loans_1yr_diff_ewma_trim_t,8.3197,0.0058,10.8571,0.0018
885,real_med_family_income_1yr_diff_times_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
886,real_med_family_income_1yr_diff_div_combanks_business_loans_1yr_diff_ewma_trim_t,5.3785,0.0245,7.3167,0.0094
887,real_med_family_income_1yr_diff_div_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
888,real_med_family_income_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_t,7.3507,0.0092,14.3136,0.0004
889,real_med_family_income_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
890,real_med_family_income_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_t,6.2781,0.0155,7.1549,0.0101
891,real_med_family_income_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
892,real_med_family_income_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,6.571,0.0134,0.0026,0.9599
893,real_med_family_income_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
894,real_med_family_income_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,6.8162,0.0119,0.1693,0.6825
895,real_med_family_income_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
896,real_med_family_income_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_t,7.5385,0.0084,5.5947,0.022
897,real_med_family_income_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
898,real_med_family_income_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_t,6.0555,0.0174,3.6419,0.0622
899,real_med_family_income_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
900,real_med_family_income_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_t,7.4615,0.0087,14.0424,0.0005
901,real_med_family_income_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
902,real_med_family_income_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_t,6.1812,0.0163,13.5846,0.0006
903,real_med_family_income_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
904,real_med_family_income_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,5.815,0.0196,7.6841,0.0079
905,real_med_family_income_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
906,real_med_family_income_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,7.8185,0.0073,17.4824,0.0001
907,real_med_family_income_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
908,combanks_business_loans_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_t,8.7828,0.0046,13.9337,0.0005
909,combanks_business_loans_1yr_diff_times_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
910,combanks_business_loans_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_t,7.5727,0.0082,4.7949,0.0333
911,combanks_business_loans_1yr_diff_div_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
912,combanks_business_loans_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,7.8586,0.0072,2.9641,0.0914
913,combanks_business_loans_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
914,combanks_business_loans_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,8.2218,0.006,5.9379,0.0185
915,combanks_business_loans_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
916,combanks_business_loans_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_t,9.0227,0.0042,14.3767,0.0004
917,combanks_business_loans_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
918,combanks_business_loans_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_t,7.2933,0.0094,1.5581,0.2179
919,combanks_business_loans_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
920,combanks_business_loans_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_t,8.9034,0.0044,14.2518,0.0004
921,combanks_business_loans_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
922,combanks_business_loans_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_t,7.4629,0.0087,4.0411,0.0499
923,combanks_business_loans_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
924,combanks_business_loans_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,6.9987,0.0109,0.6527,0.423
925,combanks_business_loans_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
926,combanks_business_loans_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,9.4635,0.0034,17.8736,0.0001
927,combanks_business_loans_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
928,combanks_assets_tot_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,6.9208,0.0113,0.2889,0.5934
929,combanks_assets_tot_1yr_diff_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
930,combanks_assets_tot_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,7.252,0.0096,1.8762,0.177
931,combanks_assets_tot_1yr_diff_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
932,combanks_assets_tot_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_t,7.9439,0.0069,7.4956,0.0086
933,combanks_assets_tot_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
934,combanks_assets_tot_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_t,6.4397,0.0143,0.7495,0.3909
935,combanks_assets_tot_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
936,combanks_assets_tot_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_t,7.9012,0.007,23.789,0.0
937,combanks_assets_tot_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
938,combanks_assets_tot_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_t,6.5398,0.0136,0.31,0.5802
939,combanks_assets_tot_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
940,combanks_assets_tot_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,6.1431,0.0166,2.8755,0.0963
941,combanks_assets_tot_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
942,combanks_assets_tot_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,8.3383,0.0057,19.4186,0.0001
943,combanks_assets_tot_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
944,mortage_debt_individuals_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_t,7.0323,0.0107,0.3818,0.5395
945,mortage_debt_individuals_1yr_diff_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
946,mortage_debt_individuals_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_t,5.8284,0.0195,6.3969,0.0147
947,mortage_debt_individuals_1yr_diff_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
948,mortage_debt_individuals_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_t,7.0616,0.0105,0.6128,0.4375
949,mortage_debt_individuals_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
950,mortage_debt_individuals_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_t,5.8665,0.0191,2.376,0.1296
951,mortage_debt_individuals_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
952,mortage_debt_individuals_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,5.4841,0.0232,2.7118,0.106
953,mortage_debt_individuals_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
954,mortage_debt_individuals_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,7.7772,0.0075,5.7263,0.0206
955,mortage_debt_individuals_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
956,real_estate_loans_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_t,8.1058,0.0064,11.8091,0.0012
957,real_estate_loans_1yr_diff_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
958,real_estate_loans_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_t,6.7072,0.0125,0.0362,0.85
959,real_estate_loans_1yr_diff_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
960,real_estate_loans_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,6.2946,0.0154,0.4224,0.5188
961,real_estate_loans_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
962,real_estate_loans_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,8.8782,0.0044,24.2451,0.0
963,real_estate_loans_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
964,foreign_dir_invest_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_t,6.2319,0.0159,1.3169,0.2567
965,foreign_dir_invest_1yr_diff_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
966,foreign_dir_invest_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_t,8.7933,0.0046,36.8606,0.0
967,foreign_dir_invest_1yr_diff_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
968,equity_alloc_ewma_trim_pow2_t,8.8321,0.0045,4.5144,0.0387
969,equity_alloc_ewma_trim_pow2_isnull,,,,
970,tsy_10yr_yield_ewma_trim_pow2_t,17.2043,0.0001,13.2473,0.0007
971,tsy_10yr_yield_ewma_trim_pow2_isnull,,,,
972,tsy_5yr_yield_ewma_trim_pow2_t,23.7557,0.0,16.5107,0.0002
973,tsy_5yr_yield_ewma_trim_pow2_isnull,,,,
974,tsy_3mo_yield_ewma_trim_pow2_t,38.5358,0.0,27.5666,0.0
975,tsy_3mo_yield_ewma_trim_pow2_isnull,,,,
976,unempl_rate_ewma_trim_pow2_t,1.1068,0.2978,8.2393,0.006
977,unempl_rate_ewma_trim_pow2_isnull,,,,
978,sp500_peratio_ewma_trim_pow2_t,9.3959,0.0035,4.9327,0.031
979,sp500_peratio_ewma_trim_pow2_isnull,,,,
980,capacity_util_mfg_ewma_trim_pow2_t,8.3037,0.0058,12.5525,0.0009
981,capacity_util_mfg_ewma_trim_pow2_isnull,,,,
982,capacity_util_chem_ewma_trim_pow2_t,8.6768,0.0049,17.2648,0.0001
983,capacity_util_chem_ewma_trim_pow2_isnull,,,,
984,med_family_income_vs_house_price_ewma_trim_pow2_t,6.9294,0.0112,1.0,0.3222
985,med_family_income_vs_house_price_ewma_trim_pow2_isnull,,,,
986,gdp_nom_1yr_diff_ewma_trim_pow2_t,6.8282,0.0118,0.5774,0.451
987,gdp_nom_1yr_diff_ewma_trim_pow2_isnull,,,,
988,cpi_urb_nonvol_1yr_diff_ewma_trim_pow2_t,6.817,0.0119,15.6392,0.0002
989,cpi_urb_nonvol_1yr_diff_ewma_trim_pow2_isnull,,,,
990,industrial_prod_1yr_diff_ewma_trim_pow2_t,6.9378,0.0112,0.5522,0.461
991,industrial_prod_1yr_diff_ewma_trim_pow2_isnull,,,,
992,med_house_price_1yr_diff_ewma_trim_pow2_t,5.581,0.0221,3.8945,0.0541
993,med_house_price_1yr_diff_ewma_trim_pow2_isnull,,,,
994,med_family_income_1yr_diff_ewma_trim_pow2_t,6.8583,0.0116,3.8134,0.0566
995,med_family_income_1yr_diff_ewma_trim_pow2_isnull,,,,
996,unempl_rate_1yr_diff_ewma_trim_pow2_t,6.0259,0.0176,0.0098,0.9217
997,unempl_rate_1yr_diff_ewma_trim_pow2_isnull,,,,
998,real_med_family_income_1yr_diff_ewma_trim_pow2_t,6.9456,0.0112,6.5182,0.0138
999,real_med_family_income_1yr_diff_ewma_trim_pow2_isnull,,,,
1000,combanks_business_loans_1yr_diff_ewma_trim_pow2_t,9.7531,0.003,11.1409,0.0016
1001,combanks_business_loans_1yr_diff_ewma_trim_pow2_isnull,,,,
1002,combanks_assets_tot_1yr_diff_ewma_trim_pow2_t,7.7633,0.0075,12.6506,0.0008
1003,combanks_assets_tot_1yr_diff_ewma_trim_pow2_isnull,,,,
1004,mortage_debt_individuals_1yr_diff_ewma_trim_pow2_t,6.0405,0.0175,0.1563,0.6943
1005,mortage_debt_individuals_1yr_diff_ewma_trim_pow2_isnull,,,,
1006,real_estate_loans_1yr_diff_ewma_trim_pow2_t,8.0737,0.0065,4.4388,0.0403
1007,real_estate_loans_1yr_diff_ewma_trim_pow2_isnull,,,,
1008,foreign_dir_invest_1yr_diff_ewma_trim_pow2_t,8.0015,0.0067,15.5634,0.0003
1009,foreign_dir_invest_1yr_diff_ewma_trim_pow2_isnull,,,,
1010,tax_receipts_corp_1yr_diff_ewma_trim_pow2_t,4.8951,0.0315,10.6617,0.002
1011,tax_receipts_corp_1yr_diff_ewma_trim_pow2_isnull,,,,
1012,equity_alloc_times_tsy_10yr_yield_ewma_trim_pow2_t,19.6838,0.0001,14.1982,0.0004
1013,equity_alloc_times_tsy_10yr_yield_ewma_trim_pow2_isnull,,,,
1014,equity_alloc_div_tsy_10yr_yield_ewma_trim_pow2_t,0.9914,0.3242,4.3209,0.0429
1015,equity_alloc_div_tsy_10yr_yield_ewma_trim_pow2_isnull,,,,
1016,equity_alloc_times_tsy_5yr_yield_ewma_trim_pow2_t,29.7938,0.0,20.6122,0.0
1017,equity_alloc_times_tsy_5yr_yield_ewma_trim_pow2_isnull,,,,
1018,equity_alloc_div_tsy_5yr_yield_ewma_trim_pow2_t,0.3518,0.5557,7.1346,0.0102
1019,equity_alloc_div_tsy_5yr_yield_ewma_trim_pow2_isnull,,,,
1020,equity_alloc_times_tsy_3mo_yield_ewma_trim_pow2_t,39.4737,0.0,28.5317,0.0
1021,equity_alloc_times_tsy_3mo_yield_ewma_trim_pow2_isnull,,,,
1022,equity_alloc_times_unempl_rate_ewma_trim_pow2_t,1.9472,0.1691,10.6949,0.002
1023,equity_alloc_times_unempl_rate_ewma_trim_pow2_isnull,,,,
1024,equity_alloc_div_unempl_rate_ewma_trim_pow2_t,19.9428,0.0,17.5402,0.0001
1025,equity_alloc_div_unempl_rate_ewma_trim_pow2_isnull,,,,
1026,equity_alloc_times_sp500_peratio_ewma_trim_pow2_t,10.9196,0.0018,5.3003,0.0256
1027,equity_alloc_times_sp500_peratio_ewma_trim_pow2_isnull,,,,
1028,equity_alloc_div_sp500_peratio_ewma_trim_pow2_t,4.4444,0.04,3.8431,0.0556
1029,equity_alloc_div_sp500_peratio_ewma_trim_pow2_isnull,,,,
1030,equity_alloc_times_capacity_util_mfg_ewma_trim_pow2_t,10.5172,0.0021,7.8831,0.0071
1031,equity_alloc_times_capacity_util_mfg_ewma_trim_pow2_isnull,,,,
1032,equity_alloc_div_capacity_util_mfg_ewma_trim_pow2_t,,,,
1033,equity_alloc_div_capacity_util_mfg_ewma_trim_pow2_isnull,,,,
1034,equity_alloc_times_capacity_util_chem_ewma_trim_pow2_t,11.1801,0.0016,10.7839,0.0019
1035,equity_alloc_times_capacity_util_chem_ewma_trim_pow2_isnull,,,,
1036,equity_alloc_div_capacity_util_chem_ewma_trim_pow2_t,,,,
1037,equity_alloc_div_capacity_util_chem_ewma_trim_pow2_isnull,,,,
1038,equity_alloc_times_med_family_income_vs_house_price_ewma_trim_pow2_t,9.0687,0.0041,4.5392,0.0382
1039,equity_alloc_times_med_family_income_vs_house_price_ewma_trim_pow2_isnull,,,,
1040,equity_alloc_div_med_family_income_vs_house_price_ewma_trim_pow2_t,8.7043,0.0048,4.3007,0.0434
1041,equity_alloc_div_med_family_income_vs_house_price_ewma_trim_pow2_isnull,,,,
1042,equity_alloc_times_gdp_nom_1yr_diff_ewma_trim_pow2_t,8.8727,0.0045,3.9099,0.0536
1043,equity_alloc_times_gdp_nom_1yr_diff_ewma_trim_pow2_isnull,,,,
1044,equity_alloc_div_gdp_nom_1yr_diff_ewma_trim_pow2_t,8.7546,0.0047,5.1555,0.0276
1045,equity_alloc_div_gdp_nom_1yr_diff_ewma_trim_pow2_isnull,,,,
1046,equity_alloc_times_cpi_urb_nonvol_1yr_diff_ewma_trim_pow2_t,9.0174,0.0042,5.0995,0.0284
1047,equity_alloc_times_cpi_urb_nonvol_1yr_diff_ewma_trim_pow2_isnull,,,,
1048,equity_alloc_div_cpi_urb_nonvol_1yr_diff_ewma_trim_pow2_t,8.6533,0.0049,3.9673,0.052
1049,equity_alloc_div_cpi_urb_nonvol_1yr_diff_ewma_trim_pow2_isnull,,,,
1050,equity_alloc_times_industrial_prod_1yr_diff_ewma_trim_pow2_t,9.0148,0.0042,4.2266,0.0451
1051,equity_alloc_times_industrial_prod_1yr_diff_ewma_trim_pow2_isnull,,,,
1052,equity_alloc_div_industrial_prod_1yr_diff_ewma_trim_pow2_t,8.5326,0.0052,4.2318,0.045
1053,equity_alloc_div_industrial_prod_1yr_diff_ewma_trim_pow2_isnull,,,,
1054,equity_alloc_times_med_house_price_1yr_diff_ewma_trim_pow2_t,7.165,0.01,0.433,0.5136
1055,equity_alloc_times_med_house_price_1yr_diff_ewma_trim_pow2_isnull,,,,
1056,equity_alloc_div_med_house_price_1yr_diff_ewma_trim_pow2_t,10.7376,0.0019,18.9686,0.0001
1057,equity_alloc_div_med_house_price_1yr_diff_ewma_trim_pow2_isnull,,,,
1058,equity_alloc_times_med_family_income_1yr_diff_ewma_trim_pow2_t,9.0188,0.0042,4.7427,0.0343
1059,equity_alloc_times_med_family_income_1yr_diff_ewma_trim_pow2_isnull,,,,
1060,equity_alloc_div_med_family_income_1yr_diff_ewma_trim_pow2_t,8.6524,0.0049,4.2845,0.0438
1061,equity_alloc_div_med_family_income_1yr_diff_ewma_trim_pow2_isnull,,,,
1062,equity_alloc_times_unempl_rate_1yr_diff_ewma_trim_pow2_t,9.6442,0.0031,6.1469,0.0167
1063,equity_alloc_times_unempl_rate_1yr_diff_ewma_trim_pow2_isnull,,,,
1064,equity_alloc_div_unempl_rate_1yr_diff_ewma_trim_pow2_t,6.262,0.0157,0.0626,0.8035
1065,equity_alloc_div_unempl_rate_1yr_diff_ewma_trim_pow2_isnull,,,,
