index1,name,linreg_scores,linreg_pvalues,classif_scores,classif_pvalues
79,equity_alloc_div_gdp_nom_1yr_diff_ewma_trim_isnull,,,,
80,equity_alloc_times_cpi_urb_nonvol_1yr_diff_ewma_trim_t,7.8952,0.0071,4.9069,0.0314
81,equity_alloc_times_cpi_urb_nonvol_1yr_diff_ewma_trim_isnull,,,,
82,equity_alloc_div_cpi_urb_nonvol_1yr_diff_ewma_trim_t,7.7278,0.0076,3.896,0.0541
83,equity_alloc_div_cpi_urb_nonvol_1yr_diff_ewma_trim_isnull,,,,
84,equity_alloc_times_industrial_prod_1yr_diff_ewma_trim_t,7.931,0.0069,3.9255,0.0532
85,equity_alloc_times_industrial_prod_1yr_diff_ewma_trim_isnull,,,,
86,equity_alloc_div_industrial_prod_1yr_diff_ewma_trim_t,7.6495,0.0079,4.2465,0.0447
87,equity_alloc_div_industrial_prod_1yr_diff_ewma_trim_isnull,,,,
88,equity_alloc_times_med_house_price_1yr_diff_ewma_trim_t,7.1016,0.0103,0.5447,0.464
89,equity_alloc_times_med_house_price_1yr_diff_ewma_trim_isnull,,,,
90,equity_alloc_div_med_house_price_1yr_diff_ewma_trim_t,8.5582,0.0052,17.3943,0.0001
91,equity_alloc_div_med_house_price_1yr_diff_ewma_trim_isnull,,,,
92,equity_alloc_times_med_family_income_1yr_diff_ewma_trim_t,7.9057,0.007,4.5487,0.038
93,equity_alloc_times_med_family_income_1yr_diff_ewma_trim_isnull,,,,
94,equity_alloc_div_med_family_income_1yr_diff_ewma_trim_t,7.7161,0.0077,4.2096,0.0456
95,equity_alloc_div_med_family_income_1yr_diff_ewma_trim_isnull,,,,
96,equity_alloc_times_unempl_rate_1yr_diff_ewma_trim_t,8.1956,0.0061,6.5507,0.0136
97,equity_alloc_times_unempl_rate_1yr_diff_ewma_trim_isnull,,,,
98,equity_alloc_div_unempl_rate_1yr_diff_ewma_trim_t,6.8664,0.0116,0.1827,0.6709
99,equity_alloc_div_unempl_rate_1yr_diff_ewma_trim_isnull,,,,
100,equity_alloc_times_real_med_family_income_1yr_diff_ewma_trim_t,7.9512,0.0069,4.7509,0.0341
101,equity_alloc_times_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
102,equity_alloc_div_real_med_family_income_1yr_diff_ewma_trim_t,7.6722,0.0078,3.9894,0.0514
103,equity_alloc_div_real_med_family_income_1yr_diff_ewma_trim_isnull,,,,
104,equity_alloc_times_combanks_business_loans_1yr_diff_ewma_trim_t,9.4107,0.0035,9.9203,0.0028
105,equity_alloc_times_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
106,equity_alloc_div_combanks_business_loans_1yr_diff_ewma_trim_t,6.2791,0.0155,0.3618,0.5503
107,equity_alloc_div_combanks_business_loans_1yr_diff_ewma_trim_isnull,,,,
108,equity_alloc_times_combanks_assets_tot_1yr_diff_ewma_trim_t,8.4021,0.0056,7.4309,0.0089
109,equity_alloc_times_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
110,equity_alloc_div_combanks_assets_tot_1yr_diff_ewma_trim_t,7.2374,0.0097,1.471,0.231
111,equity_alloc_div_combanks_assets_tot_1yr_diff_ewma_trim_isnull,,,,
112,equity_alloc_times_mortage_debt_individuals_1yr_diff_ewma_trim_t,7.3652,0.0091,0.8254,0.3681
113,equity_alloc_times_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
114,equity_alloc_div_mortage_debt_individuals_1yr_diff_ewma_trim_t,8.0267,0.0066,11.8518,0.0012
115,equity_alloc_div_mortage_debt_individuals_1yr_diff_ewma_trim_isnull,,,,
116,equity_alloc_times_real_estate_loans_1yr_diff_ewma_trim_t,8.573,0.0051,6.1638,0.0165
117,equity_alloc_times_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
118,equity_alloc_div_real_estate_loans_1yr_diff_ewma_trim_t,7.0148,0.0108,0.6352,0.4293
119,equity_alloc_div_real_estate_loans_1yr_diff_ewma_trim_isnull,,,,
120,equity_alloc_times_foreign_dir_invest_1yr_diff_ewma_trim_t,8.5137,0.0053,7.9307,0.007
121,equity_alloc_times_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
122,equity_alloc_div_foreign_dir_invest_1yr_diff_ewma_trim_t,7.1381,0.0102,1.0887,0.3019
123,equity_alloc_div_foreign_dir_invest_1yr_diff_ewma_trim_isnull,,,,
124,equity_alloc_times_tax_receipts_corp_1yr_diff_ewma_trim_t,6.6682,0.0128,0.0214,0.8843
125,equity_alloc_times_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
126,equity_alloc_div_tax_receipts_corp_1yr_diff_ewma_trim_t,9.3692,0.0035,21.0696,0.0
127,equity_alloc_div_tax_receipts_corp_1yr_diff_ewma_trim_isnull,,,,
128,tsy_10yr_yield_times_tsy_5yr_yield_ewma_trim_t,21.6739,0.0,16.5819,0.0002
129,tsy_10yr_yield_times_tsy_5yr_yield_ewma_trim_isnull,,,,
130,tsy_10yr_yield_div_tsy_5yr_yield_ewma_trim_t,5.3898,0.0244,13.7814,0.0005
131,tsy_10yr_yield_div_tsy_5yr_yield_ewma_trim_isnull,,,,
132,tsy_10yr_yield_times_tsy_3mo_yield_ewma_trim_t,35.4251,0.0,25.2531,0.0
133,tsy_10yr_yield_times_tsy_3mo_yield_ewma_trim_isnull,,,,
134,tsy_10yr_yield_div_tsy_3mo_yield_ewma_trim_t,1.8834,0.1761,29.2927,0.0
135,tsy_10yr_yield_div_tsy_3mo_yield_ewma_trim_isnull,,,,
136,tsy_10yr_yield_times_unempl_rate_ewma_trim_t,6.0656,0.0173,0.0102,0.9199
137,tsy_10yr_yield_times_unempl_rate_ewma_trim_isnull,,,,
138,tsy_10yr_yield_div_unempl_rate_ewma_trim_t,19.0742,0.0001,19.7462,0.0001
139,tsy_10yr_yield_div_unempl_rate_ewma_trim_isnull,,,,
140,tsy_10yr_yield_times_sp500_peratio_ewma_trim_t,14.0847,0.0005,13.462,0.0006
141,tsy_10yr_yield_times_sp500_peratio_ewma_trim_isnull,,,,
142,tsy_10yr_yield_div_sp500_peratio_ewma_trim_t,9.7829,0.0029,5.1923,0.0271
143,tsy_10yr_yield_div_sp500_peratio_ewma_trim_isnull,,,,
144,tsy_10yr_yield_times_capacity_util_mfg_ewma_trim_t,13.3846,0.0006,14.4166,0.0004
145,tsy_10yr_yield_times_capacity_util_mfg_ewma_trim_isnull,,,,
146,tsy_10yr_yield_div_capacity_util_mfg_ewma_trim_t,11.0813,0.0016,8.0649,0.0066
147,tsy_10yr_yield_div_capacity_util_mfg_ewma_trim_isnull,,,,
148,tsy_10yr_yield_times_capacity_util_chem_ewma_trim_t,13.4824,0.0006,13.8798,0.0005
149,tsy_10yr_yield_times_capacity_util_chem_ewma_trim_isnull,,,,
