+-------------------------------------------------------------------------------------------+---------------+----------------+----------------+-----------------+
|                                            name                                           | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|                 equity_alloc_div_combanks_assets_tot_1yr_diff_ewma_trim_t                 |     7.2374    |     0.0097     |     1.471      |      0.231      |
|              equity_alloc_times_mortage_debt_individuals_1yr_diff_ewma_trim_t             |     7.3652    |     0.0091     |     0.8254     |      0.3681     |
|               equity_alloc_div_mortage_debt_individuals_1yr_diff_ewma_trim_t              |     8.0267    |     0.0066     |    11.8518     |      0.0012     |
|                 equity_alloc_times_real_estate_loans_1yr_diff_ewma_trim_t                 |     8.573     |     0.0051     |     6.1638     |      0.0165     |
|                  equity_alloc_div_real_estate_loans_1yr_diff_ewma_trim_t                  |     7.0148    |     0.0108     |     0.6352     |      0.4293     |
|                 equity_alloc_times_foreign_dir_invest_1yr_diff_ewma_trim_t                |     8.5137    |     0.0053     |     7.9307     |      0.007      |
|                  equity_alloc_div_foreign_dir_invest_1yr_diff_ewma_trim_t                 |     7.1381    |     0.0102     |     1.0887     |      0.3019     |
|                 equity_alloc_times_tax_receipts_corp_1yr_diff_ewma_trim_t                 |     6.6682    |     0.0128     |     0.0214     |      0.8843     |
|                  equity_alloc_div_tax_receipts_corp_1yr_diff_ewma_trim_t                  |     9.3692    |     0.0035     |    21.0696     |       0.0       |
|                       tsy_10yr_yield_times_tsy_5yr_yield_ewma_trim_t                      |    21.6739    |      0.0       |    16.5819     |      0.0002     |
|                        tsy_10yr_yield_div_tsy_5yr_yield_ewma_trim_t                       |     5.3898    |     0.0244     |    13.7814     |      0.0005     |
|                       tsy_10yr_yield_times_tsy_3mo_yield_ewma_trim_t                      |    35.4251    |      0.0       |    25.2531     |       0.0       |
|                        tsy_10yr_yield_times_unempl_rate_ewma_trim_t                       |     6.0656    |     0.0173     |     0.0102     |      0.9199     |
|                         tsy_10yr_yield_div_unempl_rate_ewma_trim_t                        |    19.0742    |     0.0001     |    19.7462     |      0.0001     |
|                       tsy_10yr_yield_times_sp500_peratio_ewma_trim_t                      |    14.0847    |     0.0005     |     13.462     |      0.0006     |
