+---------------------------------------------------------------------------------------+--------+---------------+----------------+----------------+-----------------+
|                                          name                                         |  coef  | linreg_scores | linreg_pvalues | classif_scores | classif_pvalues |
|                        equity_alloc_/_tsy_3mo_yield_ewma_trim_t                       |  0.0   |     1.9006    |     0.1759     |    10.0297     |      0.003      |
|                      tsy_5yr_yield_*_gdp_nom_1yr_diff_ewma_trim_t                     |  0.0   |    15.3879    |     0.0003     |    10.0298     |      0.003      |
|           capacity_util_chem_*_med_family_income_vs_house_price_ewma_trim_t           |  0.0   |     7.9436    |     0.0075     |     9.9762     |      0.0031     |
|          real_estate_loans_1yr_diff_/_foreign_dir_invest_1yr_diff_ewma_trim_t         |  0.0   |     7.8799    |     0.0078     |     9.9805     |      0.0031     |
|              tsy_5yr_yield_*_med_family_income_vs_house_price_ewma_trim_t             |  0.0   |    15.2203    |     0.0004     |     9.8892     |      0.0032     |
|                         empl_construction_1yr_diff_ewma_trim_t                        |  0.0   |     7.8201    |     0.008      |     9.8556     |      0.0033     |
|                  equity_alloc_*_med_house_price_1yr_diff_ewma_trim_t                  |  0.0   |     9.2984    |     0.0041     |     9.8143     |      0.0033     |
|                  tsy_5yr_yield_*_industrial_prod_1yr_diff_ewma_trim_t                 |  0.0   |    15.2476    |     0.0004     |     9.8508     |      0.0033     |
|                   unempl_rate_/_housing_starts_1yr_diff_ewma_trim_t                   |  0.0   |     2.5923    |     0.1154     |     9.807      |      0.0033     |
|                     tsy_5yr_yield_/_capacity_util_mfg_ewma_trim_t                     |  0.0   |    14.7474    |     0.0004     |     9.7812     |      0.0034     |
|              gdp_nom_1yr_diff_*_combanks_assets_tot_1yr_diff_ewma_trim_t              |  0.0   |     7.6611    |     0.0086     |     9.7582     |      0.0034     |
|        real_med_family_income_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t       |  0.0   |     7.8712    |     0.0078     |     9.7661     |      0.0034     |
|               equity_alloc_*_empl_construction_1yr_diff_ewma_trim_pow2_t              |  0.0   |     12.001    |     0.0013     |     9.7326     |      0.0034     |
|                     sp500_peratio_*_capacity_util_chem_ewma_trim_t                    |  0.0   |    10.0071    |     0.003      |     9.7071     |      0.0035     |
|                        equity_alloc_*_tsy_5yr_yield_ewma_trim_t                       |  0.0   |    15.8259    |     0.0003     |     9.6171     |      0.0036     |
|             tsy_3mo_yield_*_mortage_debt_individuals_1yr_diff_ewma_trim_t             |  0.0   |    18.4705    |     0.0001     |     9.6023     |      0.0036     |
|                   unempl_rate_/_med_house_price_1yr_diff_ewma_trim_t                  |  0.0   |     2.8488    |     0.0994     |     9.6107     |      0.0036     |
|                  sp500_peratio_/_industrial_prod_1yr_diff_ewma_trim_t                 |  0.0   |     8.8693    |     0.005      |     9.6271     |      0.0036     |
|                     tsy_5yr_yield_*_capacity_util_mfg_ewma_trim_t                     |  0.0   |    15.3995    |     0.0003     |     9.5855     |      0.0037     |
|                       tsy_10yr_yield_*_sp500_peratio_ewma_trim_t                      |  0.0   |    13.3077    |     0.0008     |     9.494      |      0.0038     |
|                   unempl_rate_*_housing_supply_1yr_diff_ewma_trim_t                   |  0.0   |     4.8133    |     0.0343     |     9.4261     |      0.0039     |
|       empl_construction_1yr_diff_/_mortage_debt_individuals_1yr_diff_ewma_trim_t      |  0.0   |     5.6765    |     0.0222     |     9.4242     |      0.0039     |
|                tsy_10yr_yield_*_real_estate_loans_1yr_diff_ewma_trim_t                |  0.0   |    12.5582    |     0.001      |     9.3941     |      0.004      |
|                  sp500_peratio_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |  0.0   |     9.159     |     0.0044     |     9.3968     |      0.004      |
|                 sp500_peratio_/_med_family_income_1yr_diff_ewma_trim_t                |  0.0   |     9.0658    |     0.0046     |     9.3677     |      0.004      |
|             unempl_rate_1yr_diff_/_real_estate_loans_1yr_diff_ewma_trim_t             |  0.0   |     4.274     |     0.0454     |     9.3752     |      0.004      |
|                             tsy_5yr_yield_ewma_trim_pow2_t                            |  0.0   |    17.6872    |     0.0001     |     9.3811     |      0.004      |
|                    tsy_10yr_yield_*_sp500_peratio_ewma_trim_pow2_t                    |  0.0   |    16.8371    |     0.0002     |     9.3737     |      0.004      |
|                               sp500_peratio_ewma_trim_t                               |  0.0   |     9.1876    |     0.0043     |     9.3456     |      0.0041     |
|                     tsy_5yr_yield_*_capacity_util_chem_ewma_trim_t                    |  0.0   |    15.2594    |     0.0004     |     9.309      |      0.0041     |
|                tsy_5yr_yield_/_foreign_dir_invest_1yr_diff_ewma_trim_t                |  0.0   |    14.5318    |     0.0005     |     9.338      |      0.0041     |
|              sp500_peratio_*_real_med_family_income_1yr_diff_ewma_trim_t              |  0.0   |     9.3644    |     0.004      |     9.3591     |      0.0041     |
|              sp500_peratio_/_real_med_family_income_1yr_diff_ewma_trim_t              |  0.0   |     9.0089    |     0.0047     |     9.3075     |      0.0041     |
|              tsy_5yr_yield_*_real_med_family_income_1yr_diff_ewma_trim_t              |  0.0   |    14.8942    |     0.0004     |     9.2908     |      0.0042     |
|                  sp500_peratio_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |  0.0   |     9.2154    |     0.0043     |     9.2778     |      0.0042     |
|                 sp500_peratio_*_med_family_income_1yr_diff_ewma_trim_t                |  0.0   |     9.307     |     0.0041     |     9.2996     |      0.0042     |
|                sp500_peratio_*_combanks_assets_tot_1yr_diff_ewma_trim_t               |  0.0   |     9.5494    |     0.0037     |     9.2533     |      0.0042     |
|       med_family_income_vs_house_price_*_empl_construction_1yr_diff_ewma_trim_t       |  0.0   |     8.1643    |     0.0068     |     9.2895     |      0.0042     |
|                  tsy_5yr_yield_/_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |  0.0   |    14.7076    |     0.0004     |     9.2085     |      0.0043     |
|                 tsy_5yr_yield_*_med_family_income_1yr_diff_ewma_trim_t                |  0.0   |    14.8326    |     0.0004     |     9.222      |      0.0043     |
|                     sp500_peratio_*_capacity_util_mfg_ewma_trim_t                     |  0.0   |     9.9001    |     0.0032     |     9.2443     |      0.0043     |
|                               tsy_5yr_yield_ewma_trim_t                               |  0.0   |    14.7355    |     0.0004     |     9.1909     |      0.0044     |
|                tsy_5yr_yield_/_combanks_assets_tot_1yr_diff_ewma_trim_t               |  0.0   |    14.4789    |     0.0005     |     9.1744     |      0.0044     |
|                    capacity_util_mfg_*_gdp_nom_1yr_diff_ewma_trim_t                   |  0.0   |     8.0441    |     0.0072     |     9.1812     |      0.0044     |
|                  tsy_5yr_yield_*_cpi_urb_nonvol_1yr_diff_ewma_trim_t                  |  0.0   |    14.7011    |     0.0004     |     9.0797     |      0.0046     |
|                 tsy_5yr_yield_/_med_family_income_1yr_diff_ewma_trim_t                |  0.0   |    14.5921    |     0.0005     |     9.086      |      0.0046     |
|               unempl_rate_*_combanks_business_loans_1yr_diff_ewma_trim_t              |  0.0   |     3.6697    |     0.0628     |     9.0849     |      0.0046     |
|              capacity_util_chem_/_foreign_dir_invest_1yr_diff_ewma_trim_t             |  0.0   |     7.3424    |      0.01      |     9.0514     |      0.0046     |
|       combanks_business_loans_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t       |  0.0   |     8.2912    |     0.0064     |     9.0522     |      0.0046     |
|              tsy_5yr_yield_/_real_med_family_income_1yr_diff_ewma_trim_t              |  0.0   |    14.5426    |     0.0005     |     9.0346     |      0.0047     |
|                tsy_5yr_yield_*_combanks_assets_tot_1yr_diff_ewma_trim_t               |  0.0   |    14.8843    |     0.0004     |     9.044      |      0.0047     |
|                 tsy_3mo_yield_*_tax_receipts_corp_1yr_diff_ewma_trim_t                |  0.0   |    17.7886    |     0.0001     |     9.0435     |      0.0047     |
|                     sp500_peratio_/_capacity_util_mfg_ewma_trim_t                     |  0.0   |     8.4504    |     0.006      |     9.0401     |      0.0047     |
|                    equity_alloc_*_gdp_nom_1yr_diff_ewma_trim_pow2_t                   |  0.0   |    10.8322    |     0.0021     |     9.039      |      0.0047     |
|       med_family_income_vs_house_price_/_real_estate_loans_1yr_diff_ewma_trim_t       |  0.0   |     5.8503    |     0.0203     |     8.9879     |      0.0048     |
|          empl_construction_1yr_diff_*_med_family_income_1yr_diff_ewma_trim_t          |  0.0   |     7.9776    |     0.0074     |     8.9463     |      0.0049     |
|              capacity_util_mfg_/_foreign_dir_invest_1yr_diff_ewma_trim_t              |  0.0   |     7.2757    |     0.0103     |     8.9005     |      0.005      |
|        empl_construction_1yr_diff_*_real_med_family_income_1yr_diff_ewma_trim_t       |  0.0   |     8.0589    |     0.0072     |     8.8935     |      0.005      |
|           med_house_price_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t           |  0.0   |     8.527     |     0.0058     |     8.8685     |      0.005      |
|              tsy_5yr_yield_/_combanks_business_loans_1yr_diff_ewma_trim_t             |  0.0   |    14.0566    |     0.0006     |     8.8411     |      0.0051     |
|                tsy_5yr_yield_*_foreign_dir_invest_1yr_diff_ewma_trim_t                |  0.0   |     14.809    |     0.0004     |     8.8501     |      0.0051     |
|                  unempl_rate_/_real_estate_loans_1yr_diff_ewma_trim_t                 |  0.0   |     2.554     |     0.1181     |     8.7227     |      0.0054     |
|           med_house_price_1yr_diff_*_foreign_dir_invest_1yr_diff_ewma_trim_t          |  0.0   |     8.0515    |     0.0072     |     8.7075     |      0.0054     |
|                 equity_alloc_*_empl_construction_1yr_diff_ewma_trim_t                 |  0.0   |      9.45     |     0.0038     |     8.6776     |      0.0055     |
|                        tsy_3mo_yield_*_unempl_rate_ewma_trim_t                        |  0.0   |    17.3447    |     0.0002     |     8.6659     |      0.0055     |
|                  sp500_peratio_*_industrial_prod_1yr_diff_ewma_trim_t                 |  0.0   |     9.4571    |     0.0038     |     8.5774     |      0.0057     |
|                    sp500_peratio_/_unempl_rate_1yr_diff_ewma_trim_t                   |  0.0   |    10.7667    |     0.0022     |     8.6069     |      0.0057     |
|               capacity_util_mfg_*_empl_construction_1yr_diff_ewma_trim_t              |  0.0   |     8.6362    |     0.0055     |     8.5912     |      0.0057     |
|                       equity_alloc_*_tsy_10yr_yield_ewma_trim_t                       |  0.0   |    12.5063    |     0.0011     |     8.5602     |      0.0058     |
|              tsy_5yr_yield_*_combanks_business_loans_1yr_diff_ewma_trim_t             |  0.0   |    14.8773    |     0.0004     |     8.5329     |      0.0058     |
|          med_family_income_1yr_diff_*_tax_receipts_corp_1yr_diff_ewma_trim_t          |  0.0   |     7.8254    |     0.008      |     8.5578     |      0.0058     |
|              tsy_5yr_yield_/_med_family_income_vs_house_price_ewma_trim_t             |  0.0   |    14.2978    |     0.0005     |     8.5213     |      0.0059     |
|                sp500_peratio_/_combanks_assets_tot_1yr_diff_ewma_trim_t               |  0.0   |     8.7959    |     0.0051     |     8.5174     |      0.0059     |
|                      equity_alloc_*_gdp_nom_1yr_diff_ewma_trim_t                      |  0.0   |     8.8544    |     0.005      |     8.4896     |      0.006      |
|                     tsy_10yr_yield_*_gdp_nom_1yr_diff_ewma_trim_t                     |  0.0   |    11.5912    |     0.0015     |     8.477      |      0.006      |
